ID,Created_At,Text,Author,Flesch_Readability,Flesch_Grade,Gunning_FOG_Score,Automated_Readability_Index,Coleman_Liau_Index,Linsear_Write_Score,Dale_Chall_Readability
8.56928555179143E+017,2017-04-25 17:51:03,Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance.  Full remarks: ,realDonaldTrump,31.89,12.3,33.3142857143,14.8,18.15,6,14.48
8.56849388026687E+017,2017-04-25 12:36:28,"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",realDonaldTrump,91.61,3.8,14.8074074074,5.2,6.6,5.75,7.23
8.56847826663461E+017,2017-04-25 12:30:15,Canada has made business for our dairy farmers in Wisconsin and other border states very difficult. We will not stand for this. Watch!,realDonaldTrump,68.26,6.6,23.9913043478,7.3,9.78,4.75,11.07
8.56557986474492E+017,2017-04-24 17:18:32,"If our healthcare plan is approved, you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral!",realDonaldTrump,76.72,5.4,17.0347826087,7.4,10.01,5.25,8.33
8.5648487313306E+017,2017-04-24 12:28:01,The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If,realDonaldTrump,73.51,8.7,26.852173913,11.6,9.52,11.5,10.96
8.56481786938917E+017,2017-04-24 12:15:45,"The two fake news polls released yesterday, ABC and NBC, while containing some very positive info, were totally wrong in General E. Watch!",realDonaldTrump,48.13,12.3,26.852173913,13.8,12.25,11.5,10.96
8.56234989591122E+017,2017-04-23 19:55:04,popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me and 53% said strong leader.,realDonaldTrump,72.5,9.1,19.9333333333,12.9,10.57,13,8.12
8.56233279841849E+017,2017-04-23 19:48:16,New polls out today are very good considering that much of the media is FAKE and almost always negative. Would still beat Hillary in .,realDonaldTrump,67.76,6.8,20.1333333333,6.1,8.4,5.75,9.5
8.561720569327E+017,2017-04-23 15:44:59,"Eventually, but at a later date so we can get started early, Mexico will be paying, in some form, for the badly needed border wall.",realDonaldTrump,63.02,10.7,24.8,11.2,7.84,13.5,9.93
8.5617133252182E+017,2017-04-23 15:42:07,The Democrats don't want money from budget going to border wall despite the fact that it will stop drugs and very bad MS 13 gang members.,realDonaldTrump,87.39,7.5,23.1692307692,11.9,8.01,13,9.18
8.56150719656755E+017,2017-04-23 14:20:12,ObamaCare is in serious trouble. The Dems need big money to keep it going - otherwise it dies far sooner than anyone would have thought.,realDonaldTrump,76.22,5.6,18.4666666667,6.6,8.92,5.75,8.84
8.5614692470512E+017,2017-04-23 14:05:07,Very interesting election currently taking place in France.,realDonaldTrump,29.52,11.1,30.2,13.2,18.35,4,13.9
8.55901315305796E+017,2017-04-22 21:49:10,I am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection. Jobs matter!,realDonaldTrump,41.7,12.7,29.4476190476,15.5,15.32,12.5,12.2
8.55859245023212E+017,2017-04-22 19:01:59,"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",realDonaldTrump,68.26,6.6,23.9913043478,8.1,10.77,4.75,11.07
8.5581722607888E+017,2017-04-22 16:15:01,Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.,realDonaldTrump,68.77,6.4,20.9454545455,8,11.06,4.5,9.92
8.55816071663813E+017,2017-04-22 16:10:26,Next Saturday night I will be holding a BIG rally in Pennsylvania. Look forward to it!,realDonaldTrump,80.28,4.1,17.7,3.5,6.4,3.5,8.97
8.55814859069559E+017,2017-04-22 16:05:37,Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,realDonaldTrump,53.37,8.2,31.0631578947,9.8,13.6,4.25,14.08
8.5562671570765E+017,2017-04-22 03:38:00,"After 5 SB victories since 2002, it was my honor to give Bob Kraft, Coach Belichick, and the players their first tour of the WH Residence.",realDonaldTrump,87.39,7.5,20.0923076923,12.1,8.25,13,7.96
8.55582764418163E+017,2017-04-22 00:43:21,'Presidential Executive Order on Identifying and Reducing Tax Regulatory Burdens'  Executive Order: ,realDonaldTrump,-25.3,19.8,33.4666666667,18.7,23.88,11,14.76
8.55406847200768E+017,2017-04-21 13:04:19,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",realDonaldTrump,62.01,11.1,27.7846153846,12.4,8.65,14,11
8.55373184861962E+017,2017-04-21 10:50:33,"No matter how much I accomplish during the ridiculous standard of the first 100 days, and it has been a lot (including S.C.), media will kill!",realDonaldTrump,92.12,3.6,17.9692307692,6.3,7.93,6,8.53
8.55368516920332E+017,2017-04-21 10:32:01,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!,realDonaldTrump,71.82,5.2,18.5333333333,4.9,8.2,3.3333333333,9.3
